Province,Year,Unlicensed Cannabis Sales,Tax Rate,Licensed Cannabis Sales,Unemployment Rates,"Police Rate (per 100,000 people)",Police officers Total,GDP(MILLIONS),TOTAL GDP,GDP Per Capita (2017 Constant Prices),Population,recreational dummy,age 15-19,age 19-24,TotalAge(15-24),Age(%15-24),"Property Crime Rate (per 100,000 people)","Violent Crime Rate (per 100,000 people)",Retail Sales (2017 Chained Dollars),Retail Licensing Fees
Newfoundland-and-Labrador,2007,62,0,0,13.7,164.6213414,838,"34,658","34,658,000,000",68084.08654,"509,047",0,"33,535","31,886","65,421",12.85166203,4075.72,1478.87,6527878,0
Newfoundland-and-Labrador,2008,62.2,0,0,13.3,172.8017139,884,"34,137","34,137,000,000",66730.00123,"511,569",0,"32,883","31,761","64,644",12.63641855,3858.91,1514.63,7009448,0
Newfoundland-and-Labrador,2009,63.3,0,0,15.8,177.4583399,917,"30,714","30,714,000,000",59437.90022,"516,741",0,"32,302","31,716","64,018",12.38879826,3972.88,1486.47,7120878,0
Newfoundland-and-Labrador,2010,64.7,0,0,14.9,179.8843683,939,"32,386","32,386,000,000",62041.90789,"522,002",0,"31,192","32,419","63,611",12.18596864,4031.83,1523.07,7452739,0
Newfoundland-and-Labrador,2011,66.7,0,0,13.1,178.1105047,935,"33,271","33,271,000,000",63378.7658,"524,955",0,"30,386","32,452","62,838",11.97016887,3804.96,1492,7833067,0
Newfoundland-and-Labrador,2012,68.8,0,0,12.7,175.9670109,926,"31,815","31,815,000,000",60457.78027,"526,235",0,"29,518","31,999","61,517",11.69002442,3580.16,1504.15,8170493,0
Newfoundland-and-Labrador,2013,68.4,0,0,11.9,174.0170032,917,"33,486","33,486,000,000",63545.62016,"526,960",0,"28,943","31,375","60,318",11.44640959,3558.81,1390.78,8593792,0
Newfoundland-and-Labrador,2014,70.3,0,0,12.4,169.5172074,895,"33,096","33,096,000,000",62685.37985,"527,970",0,"28,496","30,713","59,209",11.21446294,3287.84,1259.09,8911734,0
Newfoundland-and-Labrador,2015,72,0,0,13.1,168.2603133,889,"32,709","32,709,000,000",61908.0606,"528,348",0,"28,312","29,753","58,065",10.98991574,3383.34,1368.64,8971614,0
Newfoundland-and-Labrador,2016,71.2,0,0,13.7,171.832337,910,"33,201","33,201,000,000",62692.36725,"529,586",0,"27,992","29,353","57,345",10.82826963,3379.62,1326.89,9011404,0
Newfoundland-and-Labrador,2017,68.5,0,0,15.2,171.9705064,911,"33,689","33,689,000,000",63595.10856,"529,742",0,"27,735","28,951","56,686",10.70068071,2938.41,1315.55,9230205,0
Newfoundland-and-Labrador,2018,69.8,25,8.4,14,170.3248663,900,"32,836","32,836,000,000",62142.08122,"528,402",1,"27,295","28,633","55,928",10.58436569,2954,1346.7,9020379,125
Newfoundland-and-Labrador,2019,56.7,25,26.7,12.2,170.9489181,902,"34,157","34,157,000,000",64735.05761,"527,643",1,"26,973","28,601","55,574",10.53250019,3133.56,1543.66,9017543,125
Newfoundland-and-Labrador,2020,45.9,25,41,14.3,170.6,,"32,512","32,512,000,000",61706.18201,"526,884",1,"26,499","28,663","55,162",10.46947715,3115.3,1659.19,9175919,125
Newfoundland-and-Labrador,2021,43.9,25,69.6,13,166.775447,879,"32,836","32,836,000,000",62300.78018,"527,056",1,"26,116","28,371","54,487",10.33799065,3321.09,1805.31,10184456,125
Newfoundland-and-Labrador,2022,44.6,,90.8,11.3,165.4566434,879,"32,488","32,488,000,000",61153.07657,"531,257",1,"26,886","28,977","55,863",10.51524968,3672.63,1795.76,,
Newfoundland-and-Labrador,2023,45.4,,122.5,9.9,161.102027,868,"31,512","31,512,000,000",58486.71743,"538,789",1,"27,429","29,671","57,100",10.59784071,3960.24,1895.13,,
Newfoundland-and-Labrador,2024,42.9,,155.4,10,0,,"32,350","32,350,000,000",59154.93473,"546,869",1,"27,902","30,644","58,546",10.70567174,4172.97,1890.15,,
Prince Edward Island,2007,16.1,0,0,10.6,164.8403518,227,"5,748","5,748,000,000",41740.19127,"137,709",0,"9,933","9,103","19,036",13.82335214,4307.26,1128.37,1620817,0
Prince Edward Island,2008,16.1,0,0,11.2,166.5032868,231,"5,807","5,807,000,000",41856.47561,"138,736",0,"9,908","9,012","18,920",13.63741206,4440.63,1148.71,1702975,0
Prince Edward Island,2009,16.4,0,0,12,167.2946173,234,"5,842","5,842,000,000",41766.45957,"139,873",0,"9,803","9,052","18,855",13.48008551,4340.68,1275.11,1681645,0
Prince Edward Island,2010,16.8,0,0,11.5,168.0268843,238,"5,957","5,957,000,000",42056.14075,"141,644",0,"9,760","9,277","19,037",13.44003276,4366.94,1185.08,1770179,0
Prince Edward Island,2011,17.3,0,0,11.2,169.5409886,244,"6,085","6,085,000,000",42281.02114,"143,918",0,"9,757","9,486","19,243",13.37080838,4407.38,1157.24,1865814,0
Prince Edward Island,2012,17.9,0,0,11.2,171.0348648,247,"6,148","6,148,000,000",42571.75501,"144,415",0,"9,482","9,604","19,086",13.21607866,4642.63,1183.15,1921648,0
Prince Edward Island,2013,18.5,0,0,11.5,161.1760292,232,"6,256","6,256,000,000",43461.94995,"143,942",0,"9,127","9,448","18,575",12.9045032,4308.99,958.4,1939336,0
Prince Edward Island,2014,19,0,0,10.7,163.780839,236,"6,263","6,263,000,000",43464.38114,"144,095",0,"9,002","9,114","18,116",12.57226136,3351.75,855.26,2007179,0
Prince Edward Island,2015,19.7,0,0,10.7,156.2543212,226,"6,351","6,351,000,000",43910.22982,"144,636",0,"8,983","9,002","17,985",12.43466357,2905.65,749.24,2058695,0
Prince Edward Island,2016,19.7,0,0,10.8,154.5363569,227,"6,487","6,487,000,000",44161.99767,"146,891",0,"8,866","9,095","17,961",12.22743395,2950.49,800.59,2209100,0
Prince Edward Island,2017,19.3,0,0,10,148.2569788,222,"6,791","6,791,000,000",45351.94337,"149,740",0,"8,722","9,351","18,073",12.06958728,2610.52,922.93,2348795,0
Prince Edward Island,2018,19.4,25,3.7,9.9,141.8635352,216,"6,906","6,906,000,000",45356.92471,"152,259",1,"8,851","9,530","18,381",12.07219278,2995.55,1021.29,2410546,0
Prince Edward Island,2019,15.4,25,16.2,9,138.0045188,215,"7,222","7,222,000,000",46356.6807,"155,792",1,"8,981","10,453","19,434",12.47432474,3208.77,1286.97,2503400,0
Prince Edward Island,2020,12.7,25,19.4,10.6,136.15,,"7,003","7,003,000,000",43990.62773,"159,193",1,"9,137","11,541","20,678",12.9892646,2599.99,1274.55,2531909,0
Prince Edward Island,2021,12.2,25,27.9,9.8,138.1581788,224,"7,552","7,552,000,000",46579.04313,"162,133",1,"8,934","12,161","21,095",13.01092313,2602.8,1263.16,3012311,0
Prince Edward Island,2022,12.6,,36.9,7.7,135.1674641,226,"7,940","7,940,000,000",47488.03828,"167,200",1,"9,358","12,832","22,190",13.2715311,2883.75,1382.07,,
Prince Edward Island,2023,13,,44.9,7.2,132.9618843,231,"8,174","8,174,000,000",47048.93688,"173,734",1,"9,793","14,223","24,016",13.82343122,3354.38,1631.43,,
Prince Edward Island,2024,12.5,,53.1,8,0,,"8,482","8,482,000,000",47198.52651,"179,709",1,"10,148","14,736","24,884",13.84683015,3159.34,1513.86,,
Nova Scotia,2007,146.9,0,0,8.2,187.988417,"1,758","39,439","39,439,000,000",42173.35141,"935,164",0,"62,925","61,043","123,968",13.25628446,4604.57,1704.9,11617046,0
Nova Scotia,2008,147.5,0,0,7.9,199.1527461,"1,864","40,219","40,219,000,000",42970.6239,"935,965",0,"62,282","60,751","123,033",13.14504282,4166.09,1712.21,12090734,0
Nova Scotia,2009,149.3,0,0,9.4,200.0498792,"1,877","40,363","40,363,000,000",43018.71751,"938,266",0,"61,069","61,452","122,521",13.05823722,4185.17,1657.33,12105354,0
Nova Scotia,2010,151.7,0,0,9.6,202.9413763,"1,912","41,458","41,458,000,000",44003.889,"942,144",0,"59,425","63,019","122,444",12.99631479,4335.86,1567.39,12650627,0
Nova Scotia,2011,155.3,0,0,9,202.733835,"1,914","41,732","41,732,000,000",44203.17871,"944,095",0,"57,952","64,228","122,180",12.94149424,4027.01,1459,13098351,0
Nova Scotia,2012,159.5,0,0,9.3,205.0546936,"1,934","41,327","41,327,000,000",43817.45255,"943,163",0,"56,404","63,904","120,308",12.75580149,3956.61,1374.05,13211446,0
Nova Scotia,2013,164.4,0,0,9.1,201.6369301,"1,895","41,189","41,189,000,000",43827.03701,"939,808",0,"54,553","62,779","117,332",12.48467772,3483.82,1235.81,13638987,0
Nova Scotia,2014,169.2,0,0,9.1,200.9025687,"1,884","41,589","41,589,000,000",44348.92212,"937,768",0,"53,165","61,234","114,399",12.19907269,3332.92,1261.95,14018115,0
Nova Scotia,2015,174,0,0,8.9,197.8837638,"1,855","41,868","41,868,000,000",44663.05889,"937,419",0,"52,924","59,989","112,913",12.04509403,2970.34,1205.84,14046384,0
Nova Scotia,2016,173.3,0,0,8.4,193.2164279,"1,822","42,531","42,531,000,000",45102.56802,"942,984",0,"52,223","59,542","111,765",11.85226897,2862.89,1164.31,14709625,0
Nova Scotia,2017,168.2,0,0,8.7,192.2998155,"1,831","43,314","43,314,000,000",45490.30151,"952,159",0,"51,832","60,021","111,853",11.74730271,2871.37,1259.03,15863254,0
Nova Scotia,2018,170.5,25,18.7,7.9,193.3327235,"1,860","44,077","44,077,000,000",45814.65836,"962,072",1,"51,134","60,544","111,678",11.60807091,2856.96,1271.53,15893330,0
Nova Scotia,2019,140.1,25,71.7,7.5,189.7931849,"1,852","45,586","45,586,000,000",46716.58815,"975,799",1,"50,870","62,223","113,093",11.58978437,2834.7,1413.1,16299371,0
Nova Scotia,2020,115.2,25,94,9.9,190.35,,"43,513","43,513,000,000",43989.4942,"989,168",1,"50,171","63,071","113,242",11.44820698,2755.24,1501.06,15966335,0
Nova Scotia,2021,111,25,116.4,8.6,188.1173068,"1,881","46,290","46,290,000,000",46294.25907,"999,908",1,"48,907","62,837","111,744",11.17542814,3083.28,1504.24,18567240,0
Nova Scotia,2022,112.6,,130.2,6.6,183.0017363,"1,874","48,663","48,663,000,000",47520.8831,"1,024,034",1,"50,195","64,197","114,392",11.17072285,3424.97,1594.13,,
Nova Scotia,2023,116.4,,145.8,6.4,172.078955,"1,812","49,819","49,819,000,000",47311.26633,"1,053,005",1,"52,400","65,720","118,120",11.21742062,3395.31,1622.93,,
Nova Scotia,2024,110.8,,155.9,6.5,0,,"51,378","51,378,000,000",47450.56425,"1,082,769",1,"53,756","69,702","123,458",11.40206267,3532.51,1538.03,,
New Brunswick,2007,78.6,0,0,7.7,177.8839059,"1,326","34,342","34,342,000,000",46070.05353,"745,430",0,"48,594","47,186","95,780",12.84895966,3438.79,1385.82,9407766,0
New Brunswick,2008,79,0,0,8.7,181.4225941,"1,355","34,606","34,606,000,000",46334.39331,"746,875",0,"48,307","46,789","95,096",12.73251883,3423.56,1500.69,10018496,0
New Brunswick,2009,80,0,0,9,181.8773368,"1,364","34,105","34,105,000,000",45476.00126,"749,956",0,"47,956","46,678","94,634",12.61860696,3343.67,1545.83,10093912,0
New Brunswick,2010,81.4,0,0,9.4,185.648988,"1,398","34,783","34,783,000,000",46190.47746,"753,034",0,"47,269","47,211","94,480",12.54657824,3291.97,1519.17,10594701,0
New Brunswick,2011,83.1,0,0,9.6,182.2416919,"1,377","34,876","34,876,000,000",46157.30753,"755,590",0,"46,283","47,550","93,833",12.41850739,3038.62,1487.49,11103254,0
New Brunswick,2012,85.3,0,0,10.5,179.9185091,"1,364","34,507","34,507,000,000",45516.48088,"758,121",0,"44,736","47,216","91,952",12.12893456,3218.45,1467.74,11000734,0
New Brunswick,2013,87.7,0,0,10.4,177.2476759,"1,344","34,414","34,414,000,000",45385.42797,"758,261",0,"43,326","46,511","89,837",11.84776746,2841.76,1238.43,11073778,0
New Brunswick,2014,90.1,0,0,10.1,170.0373159,"1,290","34,454","34,454,000,000",45414.46266,"758,657",0,"41,972","45,628","87,600",11.54672006,2577.82,1168.42,11479270,0
New Brunswick,2015,92.5,0,0,10.1,168.3293249,"1,278","34,679","34,679,000,000",45676.78135,"759,226",0,"41,598","44,568","86,166",11.34918983,2952.66,1175.34,11730172,0
New Brunswick,2016,91.6,0,0,9.7,168.3431108,"1,285","34,959","34,959,000,000",45798.49657,"763,322",0,"41,075","43,777","84,852",11.11614758,2672,1188.18,11977924,0
New Brunswick,2017,88.7,0,0,8.3,160.9501537,"1,234","35,828","35,828,000,000",46730.32502,"766,697",0,"40,762","43,388","84,150",10.9756527,2926.58,1264.78,12791490,0
New Brunswick,2018,90.7,25,10.7,8.1,159.5074348,"1,229","36,218","36,218,000,000",47006.02338,"770,497",1,"40,418","42,902","83,320",10.8137994,3095.92,1347.7,13003393,0
New Brunswick,2019,76.6,25,51.2,8.2,160.9237098,"1,251","36,704","36,704,000,000",47214.5791,"777,387",1,"40,394","43,080","83,474",10.73776639,3299.13,1602.81,13277859,0
New Brunswick,2020,63,25,96.2,10.4,160.8,,"35,393","35,393,000,000",45176.86283,"783,432",1,"39,709","43,600","83,309",10.63385208,3268.31,1634.09,13419785,0
New Brunswick,2021,60.5,25,137.6,9.3,160.5964578,"1,270","37,271","37,271,000,000",47130.63447,"790,802",1,"39,276","44,232","83,508",10.5599126,3645.41,1740.89,15116647,0
New Brunswick,2022,61.3,,158.1,7.2,158.3692786,"1,281","38,097","38,097,000,000",47099.09763,"808,869",1,"41,057","45,606","86,663",10.71409585,3655.91,1762.34,,
New Brunswick,2023,63.2,,207.3,6.6,156.0576728,"1,297","38,845","38,845,000,000",46739.09251,"831,103",1,"43,052","46,757","89,809",10.80600118,3756.59,1826.63,,
New Brunswick,2024,60.7,,239.2,7,0,,"39,882","39,882,000,000",46466.6495,"858,293",1,"44,732","50,036","94,768",11.04145088,3309.51,1756.65,,
Quebec,2007,664.2,0,0,7.4,198.0266237,"15,233","362,927","362,927,000,000",47179.94384,"7,692,400",0,"494,457","490,487","984,944",12.80411835,3522.87,1077.7,90411648,0
Quebec,2008,694.5,0,0,7.4,198.4509923,"15,403","370,086","370,086,000,000",47681.57757,"7,761,614",0,"506,962","486,846","993,808",12.80414099,3476.66,1087.41,94816497,0
Quebec,2009,729.6,0,0,8.8,198.0133645,"15,532","367,169","367,169,000,000",46809.40576,"7,843,915",0,"511,453","491,351","1,002,804",12.78448326,3378.43,1087.54,93758585,0
Quebec,2010,769.8,0,0,8.2,196.5576805,"15,586","374,502","374,502,000,000",47229.08025,"7,929,479",0,"506,634","504,254","1,010,888",12.74847944,3109.81,1064.25,99589522,0
Quebec,2011,817,0,0,8,197.4081344,"15,802","381,523","381,523,000,000",47662.159,"8,004,736",0,"495,405","519,970","1,015,375",12.68467817,2851.81,1040.18,102555682,0
Quebec,2012,870.2,0,0,7.9,198.2319059,"15,977","385,706","385,706,000,000",47855.81492,"8,059,752",0,"479,599","529,717","1,009,316",12.52291634,2718.28,1051.9,103755179,0
Quebec,2013,904.2,0,0,7.8,197.3405518,"16,002","390,851","390,851,000,000",48200.69492,"8,108,825",0,"464,303","535,908","1,000,211",12.33484506,2352.06,984.87,106889669,0
Quebec,2014,936.6,0,0,7.9,198.7595021,"16,194","397,068","397,068,000,000",48734.74002,"8,147,535",0,"449,406","534,544","983,950",12.07665877,2114.84,947.55,109627887,0
Quebec,2015,967.6,0,0,7.7,195.8476434,"16,012","400,611","400,611,000,000",48999.95022,"8,175,743",0,"438,576","525,984","964,560",11.79782682,2024.51,966.02,111754746,0
Quebec,2016,963.1,0,0,7.2,194.0052299,"15,957","407,036","407,036,000,000",49487.44297,"8,225,036",0,"429,985","517,981","947,966",11.52537205,1897.82,1013.7,119181243,0
Quebec,2017,937,0,0,6.1,191.5389097,"15,884","418,675","418,675,000,000",50486.37184,"8,292,832",0,"423,143","512,103","935,246",11.27776374,1867.02,1064.74,125851988,0
Quebec,2018,942.8,24.98,38.5,5.5,189.0317471,"15,854","430,244","430,244,000,000",51299.2147,"8,386,951",1,"420,956","506,386","927,342",11.05696218,1774.67,1076.76,130727551,0
Quebec,2019,794.8,24.98,275.1,5.1,184.4472112,"15,647","442,435","442,435,000,000",52154.3439,"8,483,186",1,"425,037","504,104","929,141",10.95273639,1720.59,1129.95,132396112,0
Quebec,2020,652.3,24.98,576.9,8.9,185.75,,"421,445","421,445,000,000",49285.50086,"8,551,095",1,"427,907","499,297","927,204",10.84310255,1558.82,1120.69,132870137,0
Quebec,2021,631.2,24.98,690.6,6.1,188.1236861,"16,126","452,009","452,009,000,000",52730.74491,"8,572,020",1,"429,721","481,776","911,497",10.63339796,1618.18,1230.54,152011304,0
Quebec,2022,603.5,,677.6,4.3,187.9477456,"16,295","472,469","472,469,000,000",54494.92691,"8,669,963",1,"443,259","482,972","926,231",10.68321745,1861.57,1280.75,,
Quebec,2023,616.6,,717,4.5,189.8727864,"16,750","475,941","475,941,000,000",53951.19034,"8,821,696",1,"460,783","492,876","953,659",10.81038159,1965.23,1356.52,,
Quebec,2024,589.5,,802.1,5.3,0,,"484,064","484,064,000,000",53811.95032,"8,995,474",1,"480,136","510,953","991,089",11.01764065,1860.65,1424.31,,
Ontario,2007,1610.7,0,0,6.4,191.5373698,"24,450","713,004","713,004,000,000",55855.58725,"12,765,133",0,"878,107","879,867","1,757,974",13.77168573,3429.02,1088.74,145977853,0
Ontario,2008,1635.8,0,0,6.6,193.6148771,"24,945","712,990","712,990,000,000",55339.93634,"12,883,824",0,"886,422","880,239","1,766,661",13.71224102,3258.12,1050.17,151696887,0
Ontario,2009,1667.2,0,0,9.2,196.6160166,"25,558","690,852","690,852,000,000",53146.79096,"12,998,941",0,"890,613","887,459","1,778,072",13.6785912,3193.27,1011.66,148109125,0
Ontario,2010,1706,0,0,8.8,200.2514981,"26,306","711,237","711,237,000,000",54142.12528,"13,136,481",0,"894,773","904,064","1,798,837",13.69344652,2967.5,993.19,156276200,0
Ontario,2011,1757.1,0,0,8,198.9617975,"26,387","728,407","728,407,000,000",54922.94161,"13,262,345",0,"896,092","919,741","1,815,833",13.69164352,2760.01,956.97,161858679,0
Ontario,2012,1820.4,0,0,8,196.044552,"26,255","738,001","738,001,000,000",55106.10375,"13,392,364",0,"883,304","936,398","1,819,702",13.58760858,2647.74,909.89,164417315,0
Ontario,2013,1901.3,0,0,7.6,195.0798637,"26,359","748,281","748,281,000,000",55379.3981,"13,511,902",0,"868,919","947,873","1,816,792",13.44586425,2365.06,835.36,168875658,0
Ontario,2014,1977.6,0,0,7.4,192.0139159,"26,148","767,050","767,050,000,000",56327.16622,"13,617,763",0,"856,238","951,841","1,808,079",13.27735693,2281.17,789.4,178470524,0
Ontario,2015,2050.5,0,0,6.8,191.1477127,"26,205","785,866","785,866,000,000",57323.59794,"13,709,293",0,"845,303","948,922","1,794,225",13.08765521,2289.98,793,187934866,0
Ontario,2016,2051.5,0,0,6.6,188.5778114,"26,168","802,365","802,365,000,000",57821.8571,"13,876,500",0,"842,395","958,411","1,800,806",12.97737902,2314.55,805.83,200885536,0
Ontario,2017,2009.3,0,0,6.1,184.543821,"25,981","824,979","824,979,000,000",58598.50542,"14,078,499",0,"842,151","983,169","1,825,320",12.96530262,2426.6,853.56,216411105,0
Ontario,2018,2042.7,26.9,27.8,5.7,176.7812454,"25,327","852,029","852,029,000,000",59471.21559,"14,326,746",1,"844,382","1,014,565","1,858,947",12.97536091,2626.72,904.32,226408703,10000
Ontario,2019,1727.7,26.9,269.7,5.5,174.5900883,"25,444","869,792","869,792,000,000",59682.85728,"14,573,565",1,"844,994","1,033,680","1,878,674",12.89097074,2661.76,940.34,232067719,10000
Ontario,2020,1425.6,26.9,746,9.8,175.55,,"830,265","830,265,000,000",56244.11531,"14,761,811",1,"840,767","1,025,395","1,866,162",12.64182288,2315.08,898.54,223901092,10000
Ontario,2021,1369.8,26.9,1657.8,8.1,175.8465292,"26,100","880,652","880,652,000,000",59333.17918,"14,842,488",1,"824,719","988,890","1,813,609",12.21903632,2352.31,952.12,244687419,10000
Ontario,2022,1389,,2361.6,5.6,172.9498788,"26,212","919,448","919,448,000,000",60666.26744,"15,155,836",1,"856,254","1,028,438","1,884,692",12.43542092,2603.03,1001.32,,
Ontario,2023,1436.3,,2950.8,5.6,170.8238123,"26,704","941,547","941,547,000,000",60230.17076,"15,632,481",1,"890,061","1,099,979","1,990,040",12.730161,2841.22,1068.34,,
Ontario,2024,1385,,2951.9,7,0,,"956,994","956,994,000,000",59275.69111,"16,144,797",1,"914,299","1,171,506","2,085,805",12.91936343,2756.9,1085.08,,
Manitoba,2007,134.5,0,0,4.6,202.5312625,"2,409","57,204","57,204,000,000",48092.97774,"1,189,446",0,"87,400","83,823","171,223",14.39518902,7165.83,2025.95,14016941,0
Manitoba,2008,136,0,0,4.3,201.9591456,"2,419","59,292","59,292,000,000",49502.11519,"1,197,767",0,"87,537","84,083","171,620",14.3283293,6188.73,2041.87,14982526,0
Manitoba,2009,138.3,0,0,5.4,206.6103735,"2,497","59,202","59,202,000,000",48985.77227,"1,208,555",0,"88,007","85,028","173,035",14.31751141,6692.02,2177.83,14919599,0
Manitoba,2010,141.4,0,0,5.4,208.8005885,"2,549","60,653","60,653,000,000",49683.72732,"1,220,782",0,"87,992","86,612","174,604",14.30263552,5749.72,2218.96,15770373,0
Manitoba,2011,145.5,0,0,5.5,210.2398908,"2,593","62,107","62,107,000,000",50356.22405,"1,233,353",0,"87,994","87,889","175,883",14.26055639,4973.38,2092.98,16443105,0
